betap,vcva,tctp,thtc,vac,max_growth_rate,kz_peak,kp_peak,theta_peak
0.05,1,1.5,4,0.0001,0.00025,0.141,0.319,66.1
0.05,1.2,1.5,4,0.0001,0.00137,0.137,0.542,75.8
0.05,1.4,1.5,4,0.0001,0.00344,0.131,0.725,79.7
0.05,1.8,1.5,4,0.0001,0.00958,0.123,0.973,82.8
0.05,2,1.5,4,0.0001,0.0133,0.12,1.04,83.4
0.1,1,1.5,4,0.0001,1.41e-05,0.157,0.252,58.1
0.1,1.2,1.5,4,0.0001,0.000467,0.162,0.41,68.4
0.1,1.3,1.5,4,0.0001,0.00088,0.16,0.515,72.7
0.1,1.4,1.5,4,0.0001,0.00144,0.158,0.611,75.5
0.1,1.8,1.5,4,0.0001,0.00503,0.15,0.895,80.5
0.1,2,1.5,4,0.0001,0.00747,0.147,0.998,81.6
0.1,2.2,1.5,4,0.0001,0.0102,0.143,1.11,82.7
0.1,2.4,1.5,4,0.0001,0.0132,0.139,1.22,83.5
0.2,1.8,1.5,4,0.0001,0.00166,0.177,0.85,78.2
0.2,1.9,1.5,4,0.0001,0.00238,0.175,0.924,79.3
0.2,2,1.5,4,0.0001,0.00316,0.175,0.956,79.6
0.2,2.2,1.5,4,0.0001,0.00492,0.172,1.08,80.9
0.2,2.6,1.5,4,0.0001,0.00914,0.167,1.26,82.4
0.2,3,1.5,4,0.0001,0.0141,0.159,1.49,83.9
0.3,2.2,1.5,4,0.0001,0.00161,0.183,1.13,80.8
0.3,2.3,1.5,4,0.0001,0.00241,0.183,1.18,81.2
0.3,2.4,1.5,4,0.0001,0.00326,0.183,1.21,81.4
0.3,2.5,1.5,4,0.0001,0.00415,0.183,1.24,81.6
0.3,2.6,1.5,4,0.0001,0.00508,0.182,1.29,81.9
0.3,3,1.5,4,0.0001,0.00922,0.178,1.48,83.1
0.3,3.4,1.5,4,0.0001,0.0139,0.175,1.63,83.9
0.3,3.6,1.5,4,0.0001,0.0164,0.174,1.71,84.2
0.4,2.8,1.5,4,0.0001,0.00344,0.188,1.48,82.8
0.4,3,1.5,4,0.0001,0.00537,0.189,1.54,83
0.4,3.1,1.5,4,0.0001,0.0064,0.189,1.58,83.2
0.4,3.2,1.5,4,0.0001,0.00745,0.188,1.63,83.4
0.4,3.4,1.5,4,0.0001,0.00964,0.188,1.69,83.7
0.4,4,1.5,4,0.0001,0.0168,0.184,1.89,84.5
0.5,3.2,1.5,4,0.0001,0.00385,0.194,1.67,83.4
0.5,3.35,1.5,4,0.0001,0.00537,0.195,1.73,83.6
0.5,3.5,1.5,4,0.0001,0.00695,0.194,1.81,83.9
0.5,3.6,1.5,4,0.0001,0.00805,0.194,1.83,83.9
0.5,4,1.5,4,0.0001,0.0127,0.193,1.96,84.4
0.5,4.3,1.5,4,0.0001,0.0163,0.191,2.09,84.8
0.5,4.5,1.5,4,0.0001,0.0189,0.191,2.13,84.9
0.6,3.4,1.5,4,0.0001,0.00249,0.196,1.85,84
0.6,3.6,1.5,4,0.0001,0.00452,0.199,1.9,84
0.6,3.7,1.5,4,0.0001,0.00558,0.198,1.97,84.3
0.6,3.9,1.5,4,0.0001,0.00779,0.199,2.02,84.4
0.6,4.1,1.5,4,0.0001,0.0101,0.2,2.09,84.5
0.6,4.2,1.5,4,0.0001,0.0112,0.198,2.11,84.6
0.6,4.5,1.5,4,0.0001,0.0149,0.198,2.23,84.9
0.6,4.8,1.5,4,0.0001,0.0187,0.196,2.37,85.3
0.6,5,1.5,4,0.0001,0.0213,0.196,2.45,85.4
0.7,4,1.5,4,0.0001,0.00548,0.202,2.13,84.6
0.7,4.1,1.5,4,0.0001,0.00658,0.202,2.18,84.7
0.7,4.2,1.5,4,0.0001,0.00772,0.203,2.24,84.8
0.7,4.4,1.5,4,0.0001,0.01,0.202,2.29,85
0.7,4.5,1.5,4,0.0001,0.0112,0.202,2.32,85
0.7,4.6,1.5,4,0.0001,0.0125,0.202,2.36,85.1
0.7,4.7,1.5,4,0.0001,0.0137,0.203,2.4,85.2
0.7,5.1,1.5,4,0.0001,0.0188,0.203,2.53,85.4
0.7,5.3,1.5,4,0.0001,0.0214,0.201,2.63,85.6
0.7,5.5,1.5,4,0.0001,0.0241,0.202,2.71,85.7
0.8,4.3,1.5,4,0.0001,0.00558,0.207,2.28,84.8
0.8,4.4,1.5,4,0.0001,0.00671,0.206,2.34,85
0.8,4.5,1.5,4,0.0001,0.00788,0.206,2.42,85.1
0.8,4.95,1.5,4,0.0001,0.0133,0.206,2.56,85.4
0.8,5,1.5,4,0.0001,0.014,0.207,2.57,85.4
0.8,5.5,1.5,4,0.0001,0.0204,0.205,2.83,85.9
0.8,5.8,1.5,4,0.0001,0.0244,0.207,2.92,85.9
0.8,6,1.5,4,0.0001,0.0271,0.208,3.01,86
0.9,4.6,1.5,4,0.0001,0.00589,0.21,2.48,85.2
0.9,4.7,1.5,4,0.0001,0.00705,0.209,2.54,85.3
0.9,4.8,1.5,4,0.0001,0.00822,0.21,2.6,85.4
0.9,5,1.5,4,0.0001,0.0107,0.211,2.67,85.5
0.9,5.3,1.5,4,0.0001,0.0144,0.211,2.77,85.7
0.9,5.4,1.5,4,0.0001,0.0157,0.212,2.77,85.6
0.9,5.8,1.5,4,0.0001,0.0209,0.211,3.02,86
0.9,6.2,1.5,4,0.0001,0.0263,0.21,3.28,86.3
1,4.9,1.5,4,0.0001,0.00639,0.212,2.69,85.5
